elec_buy.emission_factor,elec_sell.emission_factor,elec_buy.variable_costs,elec_sell.variable_costs,weather.temperature,pv.fix,demand_heat.fix,dhs.temp_forward,dhs.temp_return,dhs_loss.fix,t_hp_air.eff_out_1,t_hp_air.max,t_hp_geo.eff_out_1,t_hp_ely.eff_out_1,t_hp_ely.eff_in_2,demand_elec.fix
0.375680373,-0.375680373,0.18,-0.04,-2.5,0.024074972,1463.671018,65,45,44.60534634,1.901154444,0.614738608,3.11098,11.40692667,10.40692667,277.1631361
0.383430915,-0.383430915,0.18,-0.04,-2.1,0.06153926,1424.839882,65,45,44.60534634,1.912487705,0.619138759,3.11098,11.40692667,10.40692667,265.3701121
0.393724209,-0.393724209,0.18,-0.04,-2,0.103620005,1381.05203,65,45,44.60534634,1.915342164,0.62024783,3.11098,11.40692667,10.40692667,236.3743461
0.404468706,-0.404468706,0.18,-0.04,-1.7,0.076813793,1348.533861,65,45,44.60534634,1.923956897,0.623596998,3.11098,11.40692667,10.40692667,198.0034236
0.41396544,-0.41396544,0.18,-0.04,-2.1,0.067382222,1334.748962,65,45,44.60534634,1.912487705,0.619138759,3.11098,11.40692667,10.40692667,178.6537213
0.425806334,-0.425806334,0.18,-0.04,-2.5,0.083308546,1323.608252,65,45,44.60534634,1.901154444,0.614738608,3.11098,11.40692667,10.40692667,199.4767832
0.433559561,-0.433559561,0.18,-0.04,-2.4,0,1315.510962,65,45,44.60534634,1.903975148,0.61583326,3.11098,11.40692667,10.40692667,197.5665264
0.441107405,-0.441107405,0.18,-0.04,-2.9,0,1323.354291,65,45,44.60534634,1.889954713,0.61039545,3.11098,11.40692667,10.40692667,175.1645154
0.438782563,-0.438782563,0.18,-0.04,-3.5,0,1351.26044,65,45,44.60534634,1.873400365,0.603985247,3.11098,11.40692667,10.40692667,174.6075588
0.439933655,-0.439933655,0.18,-0.04,-3.8,0,1351.495709,65,45,44.60534634,1.865231468,0.600826239,3.11098,11.40692667,10.40692667,183.7713281
0.438326643,-0.438326643,0.18,-0.04,-4,0,1326.531486,65,45,44.60534634,1.859825,0.598737015,3.11098,11.40692667,10.40692667,153.7461974
0.432179677,-0.432179677,0.18,-0.04,-4.2,0,1339.124455,65,45,44.60534634,1.854449783,0.596661071,3.11098,11.40692667,10.40692667,130.3057062
0.435781431,-0.435781431,0.18,-0.04,-4.2,0,1385.283625,65,45,44.60534634,1.854449783,0.596661071,3.11098,11.40692667,10.40692667,117.035098
0.43253383,-0.43253383,0.18,-0.04,-3.4,0,1439.790179,65,45,44.60534634,1.876139254,0.605045025,3.11098,11.40692667,10.40692667,100.9593512
0.4299331,-0.4299331,0.18,-0.04,-3.4,0,1467.752362,65,45,44.60534634,1.876139254,0.605045025,3.11098,11.40692667,10.40692667,79.88268255
0.440370644,-0.440370644,0.18,-0.04,-2.5,0,1472.196144,65,45,44.60534634,1.901154444,0.614738608,3.11098,11.40692667,10.40692667,61.68917118
0.454304361,-0.454304361,0.18,-0.04,-1.2,0,1464.791051,65,45,44.60534634,1.938488293,0.629253195,3.11098,11.40692667,10.40692667,57.6128844
0.45501764,-0.45501764,0.18,-0.04,-0.4,0,1440.394535,65,45,44.60534634,1.962200688,0.638501201,3.11098,11.40692667,10.40692667,56.49233809
0.457824882,-0.457824882,0.18,-0.04,0.4,0,1399.44866,65,45,44.60534634,1.986500387,0.648001476,3.11098,11.40692667,10.40692667,55.0378312
0.466209739,-0.466209739,0.18,-0.04,1.1,0,1346.260242,65,45,44.60534634,2.008261737,0.656529109,3.11098,11.40692667,10.40692667,54.1467598
0.480129834,-0.480129834,0.18,-0.04,1.6,0,1302.019137,65,45,44.60534634,2.024099763,0.662747208,3.11098,11.40692667,10.40692667,55.59194196
0.501897768,-0.501897768,0.18,-0.04,1.8,0,1317.741497,65,45,44.60534634,2.030505142,0.665264766,3.11098,11.40692667,10.40692667,66.65229839
0.51139103,-0.51139103,0.18,-0.04,1.9,0,1421.92388,65,45,44.60534634,2.033723059,0.666530129,3.11098,11.40692667,10.40692667,81.84344959
0.519356224,-0.519356224,0.18,-0.04,1.7,0.01339204,1445.989966,65,45,44.60534634,2.027297393,0.6640038,3.11098,11.40692667,10.40692667,96.96340792
0.52082766,-0.52082766,0.18,-0.04,1.9,0.024446793,1398.583185,65,45,44.60534634,2.033723059,0.666530129,3.11098,11.40692667,10.40692667,113.4056602
0.526664253,-0.526664253,0.18,-0.04,1.9,0.047774531,1361.184394,65,45,44.60534634,2.033723059,0.666530129,3.11098,11.40692667,10.40692667,117.4229151
0.527273732,-0.527273732,0.18,-0.04,1.9,0.057072975,1317.142061,65,45,44.60534634,2.033723059,0.666530129,3.11098,11.40692667,10.40692667,138.6215022
0.52688463,-0.52688463,0.18,-0.04,2,0.031896139,1273.060246,65,45,44.60534634,2.03695119,0.667799912,3.11098,11.40692667,10.40692667,134.6862728
